inputNum,beerNum,RecipeName,MashStep,HeatSource,TargetTemp,Time
77709,201380,Tuckamore Blonde Bombshell,Saccharification Rest,Direct Heat,"
152.0
°F
",60 min
77710,201380,Tuckamore Blonde Bombshell,Mash-Out,Direct Heat,"
168.0
°F
",5 min
77711,201383,S'morter,Beta-Glucan Rest,Infusion,"
152.0
°F
",60 min
77712,201385,Flanders Digital Tools,Saccharification Rest,Infusion,"
66.0
°C
",45 min
77713,201385,Flanders Digital Tools,Saccharification Rest,Direct Heat,"
72.0
°C
",15 min
77714,201385,Flanders Digital Tools,Mash-Out,Direct Heat,"
78.0
°C
",5 min
77715,201388,15 gal pale,Saccharification Rest,Infusion,"
153.0
°F
",90 min
77716,201395,Saison de Complexe,Saccharification Rest,Infusion,"
148.0
°F
",75 min
77717,201395,Saison de Complexe,Mash-Out,Direct Heat,"
170.0
°F
",10 min
77718,201397,G's Porter,Saccharification Rest,Infusion,"
153.0
°F
",60 min
77719,201397,G's Porter,Mash-Out,Decoction,"
168.0
°F
",15 min
77720,201399,Scylla,Saccharification Rest,Infusion,"
152.0
°F
",60 min
77721,201400,glastonbury IPA mk1,Saccharification Rest,Infusion,"
150.0
°F
",60 min
77722,201403,oktober rust,Saccharification Rest,Infusion,"
152.0
°F
",75 min
77723,201403,oktober rust,Mash-Out,Direct Heat,"
170.0
°F
",10 min
77724,201405,B. Weisse,Protein Rest,Infusion,"
134.0
°F
",60 min
77725,201405,B. Weisse,Saccharification Rest,Infusion,"
152.0
°F
",15 min
77726,201405,B. Weisse,Mash-Out,Infusion,"
170.0
°F
",15 min
77727,201409,Jumba's Test Batch,Saccharification Rest,Infusion,"
152.0
°F
",60 min
77728,201409,Jumba's Test Batch,Mash-Out,Infusion,"
170.0
°F
",0 min
77729,201409,Jumba's Test Batch,Saccharification Rest,Infusion,"
170.0
°F
",10 min
77730,201420,"Hop Hands 2 (Citra, Motueka, Centennial)",Saccharification Rest,Infusion,"
148.0
°F
",60 min
77731,201425,Eagles Beer,Saccharification Rest,Infusion,"
152.0
°F
",60 min
77732,201426,Eagles 2,Saccharification Rest,Infusion,"
154.0
°F
",60 min
77733,201427,Hybrid,Saccharification Rest,Infusion,"
146.0
°F
",60 min
77734,201427,Hybrid,Mash-Out,Infusion,"
170.0
°F
",20 min
77735,201430,Honking Goose,Saccharification Rest,Direct Heat,"
154.0
°F
",60 min
77736,201432,Screaming Saison,Acid Rest,Direct Heat,"
104.0
°F
",15 min
77737,201432,Screaming Saison,Protein Rest,Direct Heat,"
122.0
°F
",30 min
77738,201432,Screaming Saison,Maltose Rest,Direct Heat,"
140.0
°F
",30 min
77739,201432,Screaming Saison,Saccharification Rest,Direct Heat,"
158.0
°F
",30 min
77740,201432,Screaming Saison,Mash-Out,Decoction,"
168.0
°F
",15 min
77741,201457,Noble Malt Brewing Imperial Stout,Protein Rest,Infusion,"
154.0
°F
",20 min
77742,201457,Noble Malt Brewing Imperial Stout,Saccharification Rest,Infusion,"
160.0
°F
",60 min
77743,201457,Noble Malt Brewing Imperial Stout,Mash-Out,Infusion,"
190.0
°F
",10 min
77744,201458,Noble Malt Brewing Imperial Stout,Protein Rest,Infusion,"
154.0
°F
",20 min
77745,201458,Noble Malt Brewing Imperial Stout,Saccharification Rest,Infusion,"
160.0
°F
",60 min
77746,201458,Noble Malt Brewing Imperial Stout,Mash-Out,Infusion,"
190.0
°F
",10 min
77747,201466,Tuckamore Honey Blonde Bombshell,Saccharification Rest,Infusion,"
154.0
°F
",60 min
77748,201466,Tuckamore Honey Blonde Bombshell,Mash-Out,Infusion,"
170.0
°F
",5 min
77749,201473,StrongBrew Tripel,Saccharification Rest,Infusion,"
152.0
°F
",60 min
77750,201490,Lemon Thyme Saison,Saccharification Rest,Infusion,"
149.0
°F
",60 min
77751,201490,Lemon Thyme Saison,Mash-Out,Infusion,"
169.0
°F
",10 min
77752,201494,Turner/Knotty IPA,Saccharification Rest,Infusion,"
149.0
°F
",90 min
77753,201496,House Cream Ale,Saccharification Rest,Infusion,"
150.0
°F
",60 min
77754,201520,DLPA,Dextrinization Rest,Direct Heat,"
150.0
°F
",60 min
77755,201520,DLPA,Acid Rest,Direct Heat,"
170.0
°F
",10 min
77756,201521,Cucumber Saison,Saccharification Rest,Direct Heat,"
149.0
°F
",45 min
77757,201521,Cucumber Saison,Mash-Out,Direct Heat,"
168.0
°F
",10 min
77758,201537,Boii Pils,Protein Rest,Direct Heat,"
122.0
°F
",20 min
77759,201537,Boii Pils,Saccharification Rest,Direct Heat,"
175.0
°F
",15 min
77760,201537,Boii Pils,Saccharification Rest,Direct Heat,"
150.0
°F
",60 min
77761,201537,Boii Pils,Mash-Out,Direct Heat,"
170.0
°F
",10 min
77762,201546,Belgian Tripel,Saccharification Rest,Infusion,"
149.0
°F
",60 min
77763,201552,Mindshifter #2,Acid Rest,Decoction,"
35.0
°C
",20 min
77764,201552,Mindshifter #2,Beta-Glucan Rest,Direct Heat,"
62.0
°C
",30 min
77765,201552,Mindshifter #2,Beta-Glucan Rest,Direct Heat,"
67.0
°C
",15 min
77766,201552,Mindshifter #2,Saccharification Rest,Direct Heat,"
70.0
°C
",30 min
77767,201552,Mindshifter #2,Mash-Out,Direct Heat,"
76.0
°C
",15 min
77768,201553,Spruce Lemon Saison,Saccharification Rest,Infusion,"
149.0
°F
",60 min
77769,201553,Spruce Lemon Saison,Mash-Out,Infusion,"
170.0
°F
",15 min
77770,201559,Hveitigums (Akur nr. x),Protein Rest,Direct Heat,"
50.0
°C
",30 min
77771,201559,Hveitigums (Akur nr. x),Saccharification Rest,Direct Heat,"
66.0
°C
",60 min
77772,201559,Hveitigums (Akur nr. x),Mash-Out,Direct Heat,"
77.0
°C
",10 min
77773,201561,TheDarkSide,Saccharification Rest,Infusion,"
151.0
°F
",45 min
77774,201582,4. Větrák nakuřovaná žitná IPA,Acid Rest,Decoction,"
72.0
°C
",60 min
77775,201592,WeagleWheat,Saccharification Rest,Infusion,"
151.0
°F
",45 min
77776,201593,American Amber Rye Ale,Saccharification Rest,Infusion,"
153.0
°F
",70 min
77777,201593,American Amber Rye Ale,Mash-Out,Infusion,"
168.0
°F
",20 min
77778,201595,Fool of a Took Brown Ale,Saccharification Rest,Infusion,"
152.0
°F
",60 min
77779,201595,Fool of a Took Brown Ale,Mash-Out,Infusion,"
212.0
°F
",10 min
77780,201596,Big Brew 2014 - Imperial Stout,Dextrinization Rest,Infusion,"
152.0
°F
",60 min
77781,201596,Big Brew 2014 - Imperial Stout,Mash-Out,Infusion,"
168.0
°F
",20 min
77782,201604,Weizen #1 - Franziskaner Clone,Saccharification Rest,Infusion,"
154.0
°F
",90 min
77783,201604,Weizen #1 - Franziskaner Clone,Mash-Out,Infusion,"
168.0
°F
",15 min
77784,201611,Witbier,Protein Rest,Infusion,"
120.0
°F
",30 min
77785,201611,Witbier,Saccharification Rest,Infusion,"
150.0
°F
",45 min
77786,201616,Flight of the IRA,Saccharification Rest,Infusion,"
152.0
°F
",60 min
77787,201623,Unfinished Wheat Beer,Saccharification Rest,Infusion,"
152.0
°F
",60 min
77788,201628,Hoppy Wheat,Saccharification Rest,Infusion,"
153.0
°F
",60 min
77789,201631,Farmhouse Brett (Yakobson),Saccharification Rest,Decoction,"
153.0
°F
",60 min
77790,201633,Backyard Cascadecentric Ale,Saccharification Rest,Decoction,"
66.6
°C
",60 min
77791,201633,Backyard Cascadecentric Ale,Mash-Out,Decoction,"
75.6
°C
",10 min
77792,201638,Transitioner ,Saccharification Rest,Infusion,"
152.0
°F
",60 min
77793,201638,Transitioner ,Mash-Out,Infusion,"
169.0
°F
",10 min
77794,201648,Zombie Dust,Saccharification Rest,Infusion,"
150.0
°F
",60 min
77795,201656,Gaius Plinius Celer,Saccharification Rest,Infusion,"
151.0
°F
",60 min
77796,201674,"SMASH (Marris Otter, Citra)",Saccharification Rest,Infusion,"
154.0
°F
",60 min
77797,201681,Raspberry Wheat,Saccharification Rest,Infusion,"
154.0
°F
",60 min
77798,201681,Raspberry Wheat,Mash-Out,Infusion,"
168.0
°F
",10 min
77799,201682,Joker's Mild,Saccharification Rest,Infusion,"
158.0
°F
",60 min
77800,201690,Brown Betty,Mash-Out,Infusion,"
152.0
°F
",60 min
77801,201700,Bitter Ohioan,Mash-Out,Infusion,"
152.0
°F
",60 min
77802,201702,Your schwarz beir is as big as mine,Mash-Out,Infusion,"
151.0
°F
",70 min
77803,201704,IPA #1,Saccharification Rest,Direct Heat,"
67.0
°C
",60 min
77804,201709,wheat,Acid Rest,Infusion,"
37.0
°C
",15 min
77805,201709,wheat,Beta-Glucan Rest,Infusion,"
45.0
°C
",15 min
77806,201709,wheat,Beta-Glucan Rest,Infusion,"
52.0
°C
",15 min
77807,201709,wheat,Protein Rest,Infusion,"
62.0
°C
",30 min
77808,201709,wheat,Protein Rest,Infusion,"
73.0
°C
",30 min
77809,201709,wheat,Mash-Out,Infusion,"
78.0
°C
",15 min
77810,201716,Angel 01 May 14,Saccharification Rest,Decoction,"
65.0
°C
",60 min
77811,201716,Angel 01 May 14,Mash-Out,Decoction,"
75.0
°C
",5 min
77812,201720,MIXTAPE,Protein Rest,Infusion,"
52.0
°C
",10 min
77813,201720,MIXTAPE,Dextrinization Rest,Infusion,"
66.0
°C
",60 min
77814,201720,MIXTAPE,Mash-Out,Infusion,"
78.0
°C
",15 min
77815,201723,MH Hhhwheat Beer 1,Saccharification Rest,Infusion,"
156.0
°F
",60 min
77816,201723,MH Hhhwheat Beer 1,Mash-Out,Infusion,"
170.0
°F
",10 min
77817,201744,Golden Galaxy SMASH,Saccharification Rest,Decoction,"
152.0
°F
",60 min
77818,201748,2014 - SUNNYLAND STOMP SAISON BLANC,Maltose Rest,Infusion,"
148.0
°F
",75 min
77819,201748,2014 - SUNNYLAND STOMP SAISON BLANC,Mash-Out,Infusion,"
170.0
°F
",15 min
77820,201749,Ho Hum v2,Saccharification Rest,Infusion,"
154.0
°F
",60 min
77821,201751,Amarillo Amber,Saccharification Rest,Infusion,"
154.0
°F
",60 min
77822,201751,Amarillo Amber,Mash-Out,Infusion,"
168.0
°F
",10 min
77823,201753,Floodwaters,Saccharification Rest,Infusion,"
153.0
°F
",60 min
77824,201753,Floodwaters,Mash-Out,Infusion,"
170.0
°F
",20 min
77825,201758,IPA Juin 2014,Protein Rest,Direct Heat,"
50.0
°C
",30 min
77826,201758,IPA Juin 2014,Saccharification Rest,Direct Heat,"
65.0
°C
",75 min
77827,201772,Nelson-like IPA,Saccharification Rest,Direct Heat,"
150.0
°F
",60 min
77828,201776,Shadowban Stout,Saccharification Rest,Infusion,"
154.0
°F
",60 min
77829,201777,Dogfish 90 Clone,Saccharification Rest,Infusion,"
150.0
°F
",60 min
77830,201777,Dogfish 90 Clone,Mash-Out,Infusion,"
170.0
°F
",10 min
77831,201784,Split Open and Melt,Maltose Rest,Direct Heat,"
152.0
°F
",80 min
77832,201784,Split Open and Melt,Mash-Out,Direct Heat,"
168.0
°F
",15 min
77833,201789,EEPA,Saccharification Rest,Infusion,"
154.0
°F
",75 min
77834,201800,A Fine British Bird,Saccharification Rest,Infusion,"
150.0
°F
",60 min
77835,201800,A Fine British Bird,Mash-Out,Infusion,"
170.0
°F
",10 min
77836,201807,Balls Deep Vanilla Porter,Saccharification Rest,Infusion,"
156.0
°F
",45 min
77837,201807,Balls Deep Vanilla Porter,Mash-Out,Infusion,"
170.0
°F
",10 min
77838,201809,Lemondrop White IPA 2.1,Saccharification Rest,Direct Heat,"
148.0
°F
",60 min
77839,201809,Lemondrop White IPA 2.1,Mash-Out,Direct Heat,"
162.0
°F
",15 min
77840,201811,Balls Deep Centennial Headrush,Saccharification Rest,Infusion,"
149.0
°F
",60 min
77841,201813,Crimson Tide IPA,Saccharification Rest,Infusion,"
149.0
°F
",45 min
77842,201813,Crimson Tide IPA,Mash-Out,Infusion,"
170.0
°F
",10 min
77843,201814,Split Open and Melt Imperial Stout Big Brew Day,Saccharification Rest,Infusion,"
152.0
°F
",60 min
77844,201814,Split Open and Melt Imperial Stout Big Brew Day,Mash-Out,Infusion,"
168.0
°F
",0 min
77845,201815,German Pilsner,Saccharification Rest,Infusion,"
148.0
°F
",90 min
77846,201816,Balls Deep Piledriver,Saccharification Rest,Infusion,"
152.0
°F
",60 min
77847,201816,Balls Deep Piledriver,Mash-Out,Infusion,"
170.0
°F
",10 min
77848,201817,Aruncania Huaso 2014,Saccharification Rest,Infusion,"
154.0
°F
",60 min
77849,201825,Balls Deep Down the Dirt Road,Saccharification Rest,Infusion,"
154.0
°F
",60 min
77850,201826,Summer Chime v2,Saccharification Rest,Direct Heat,"
154.0
°F
",60 min
77851,201827,Balls Deep Invasion,Protein Rest,Decoction,"
122.0
°F
",30 min
77852,201827,Balls Deep Invasion,Mash-Out,Infusion,"
170.0
°F
",10 min
77853,201827,Balls Deep Invasion,Saccharification Rest,Infusion,"
154.0
°F
",45 min
77854,201831,Summer Jack's Happy Day,Saccharification Rest,Infusion,"
152.0
°F
",60 min
77855,201831,Summer Jack's Happy Day,Mash-Out,Decoction,"
165.0
°F
",20 min
77856,201845,reginald bixby mk6 (wedding),Saccharification Rest,Infusion,"
152.0
°F
",60 min
77857,201850,Make it a Double IPA,Saccharification Rest,Infusion,"
150.0
°F
",60 min
77858,201859,90 Shilling Scottish Ale,Saccharification Rest,Infusion,"
154.0
°F
",60 min
77859,201859,90 Shilling Scottish Ale,Mash-Out,Infusion,"
170.0
°F
",10 min
77860,201863,Daily Driver,Saccharification Rest,Infusion,"
150.0
°F
",60 min
77861,201863,Daily Driver,Mash-Out,Infusion,"
170.0
°F
",10 min
77862,201876,Edelweiss Clone Variant,Saccharification Rest,Infusion,"
150.0
°F
",60 min
77863,201876,Edelweiss Clone Variant,Mash-Out,Decoction,"
168.0
°F
",5 min
77864,201879,LoggBR2,Maltose Rest,Infusion,"
151.0
°F
",60 min
77865,201900,The Imperial Strikes Back,Saccharification Rest,Infusion,"
148.0
°F
",45 min
77866,201900,The Imperial Strikes Back,Saccharification Rest,Infusion,"
156.0
°F
",15 min
77867,201900,The Imperial Strikes Back,Saccharification Rest,Infusion,"
170.0
°F
",30 min
77868,201902,The Singularity,Saccharification Rest,Infusion,"
156.0
°F
",60 min
77869,201907,Fletcher's Backlog,Saccharification Rest,Direct Heat,"
66.0
°C
",60 min
77870,201909,Raoul's Hefeweizen,Beta-Glucan Rest,Direct Heat,"
43.0
°C
",20 min
77871,201909,Raoul's Hefeweizen,Saccharification Rest,Direct Heat,"
68.0
°C
",60 min
77872,201911,Mayday IPA,Saccharification Rest,Infusion,"
68.0
°C
",60 min
77873,201912,Golden Challenge,Saccharification Rest,Infusion,"
66.0
°C
",60 min
77874,201912,Golden Challenge,Acid Rest,Infusion,"
72.0
°C
",25 min
77875,201915,IPA 2,Saccharification Rest,Infusion,"
66.0
°C
",60 min
77876,201916,DFH 90-min XIPA,Protein Rest,Direct Heat,"
50.0
°C
",5 min
77877,201916,DFH 90-min XIPA,Saccharification Rest,Direct Heat,"
65.0
°C
",120 min
77878,201916,DFH 90-min XIPA,Mash-Out,Direct Heat,"
78.0
°C
",10 min
77879,201930,Harvest Pilsner,Saccharification Rest,Infusion,"
148.0
°F
",30 min
77880,201930,Harvest Pilsner,Saccharification Rest,Decoction,"
158.0
°F
",30 min
77881,201930,Harvest Pilsner,Mash-Out,Decoction,"
168.0
°F
",10 min
77882,201935,German-American Wheat IPA CITRUS BOMB,Saccharification Rest,Infusion,"
151.0
°F
",60 min
77883,201942,Vermont Best Bitter,Saccharification Rest,Infusion,"
150.0
°F
",60 min
77884,201942,Vermont Best Bitter,Mash-Out,Infusion,"
165.0
°F
",10 min
77885,201944,GlassBelly Full of Bitters,Maltose Rest,Direct Heat,"
152.0
°F
",60 min
77886,201964,90/-,Saccharification Rest,Infusion,"
156.0
°F
",60 min
77887,201964,90/-,Mash-Out,Decoction,"
170.0
°F
",20 min
77888,201965,Joey Reds,Mash-Out,Infusion,"
152.0
°F
",60 min
77889,201969,Salted Caramel Brown,Protein Rest,Direct Heat,"
125.0
°F
",5 min
77890,201969,Salted Caramel Brown,Saccharification Rest,Direct Heat,"
145.0
°F
",30 min
77891,201969,Salted Caramel Brown,Saccharification Rest,Direct Heat,"
155.0
°F
",30 min
77892,201969,Salted Caramel Brown,Mash-Out,Direct Heat,"
170.0
°F
",0 min
77893,201981,Brown ale,Saccharification Rest,Infusion,"
155.0
°F
",60 min
77894,201982,Brown ale,Saccharification Rest,Infusion,"
155.0
°F
",60 min
77895,201984,Munich Amber Ale,Saccharification Rest,Infusion,"
155.0
°F
",60 min
77896,201996,1745,Saccharification Rest,Decoction,"
122.0
°F
",20 min
77897,201996,1745,Saccharification Rest,Decoction,"
155.0
°F
",60 min
77898,201996,1745,Mash-Out,Decoction,"
160.0
°F
",10 min
77899,201998,Simple-co,Saccharification Rest,Infusion,"
155.0
°F
",60 min
77900,202014,Chocolate Shake,Acid Rest,Decoction,"
158.0
°F
",90 min
77901,202017,#70 Belgian Pale,Saccharification Rest,Infusion,"
152.0
°F
",90 min
77902,202017,#70 Belgian Pale,Mash-Out,Direct Heat,"
167.0
°F
",15 min
77903,202019,Mike's maple syrup porter,Acid Rest,Decoction,"
156.0
°F
",60 min
77904,202021,No. 074,Saccharification Rest,Infusion,"
152.0
°F
",60 min
77905,202053,Amarillo AAA,Protein Rest,Infusion,"
52.0
°C
",30 min
77906,202053,Amarillo AAA,Maltose Rest,Infusion,"
62.0
°C
",40 min
77907,202053,Amarillo AAA,Maltose Rest,Infusion,"
72.0
°C
",20 min
77908,202053,Amarillo AAA,Mash-Out,Infusion,"
77.0
°C
",10 min
77909,202058,SMASH Galaxy,Saccharification Rest,Infusion,"
165.0
°F
",60 min
77910,202060,Worekdziskie (BIAB),Acid Rest,Direct Heat,"
38.0
°C
",30 min
77911,202060,Worekdziskie (BIAB),Protein Rest,Direct Heat,"
52.0
°C
",45 min
77912,202060,Worekdziskie (BIAB),Saccharification Rest,Direct Heat,"
70.0
°C
",30 min
77913,202060,Worekdziskie (BIAB),Mash-Out,Direct Heat,"
75.0
°C
",1 min
77914,202061,HeberHaus Rye Saison,Saccharification Rest,Infusion,"
152.0
°F
",45 min
77915,202061,HeberHaus Rye Saison,Mash-Out,Infusion,"
168.0
°F
",5 min
77916,202068,#71: Belgian Double,Saccharification Rest,Infusion,"
156.0
°F
",60 min
77917,202068,#71: Belgian Double,Mash-Out,Direct Heat,"
167.0
°F
",15 min
77918,202071,Maple Brown Ale,Saccharification Rest,Infusion,"
152.0
°F
",90 min
77919,202071,Maple Brown Ale,Mash-Out,Infusion,"
168.0
°F
",15 min
77920,202072,Creeper Pale Ale,Saccharification Rest,Infusion,"
153.0
°F
",60 min
77921,202074,Wit's End,Acid Rest,Direct Heat,"
150.0
°F
",75 min
77922,202074,Wit's End,Mash-Out,Infusion,"
168.0
°F
",15 min
77923,202075,mosaic,Saccharification Rest,Direct Heat,"
156.0
°F
",60 min
77924,202077,WEISS Zipperer,Protein Rest,Direct Heat,"
45.0
°C
",30 min
77925,202077,WEISS Zipperer,Beta-Glucan Rest,Decoction,"
65.0
°C
",30 min
77926,202077,WEISS Zipperer,Beta-Glucan Rest,Decoction,"
69.0
°C
",30 min
77927,202079,LI Cream Ale,Saccharification Rest,Infusion,"
150.0
°F
",60 min
77928,202083,Farmer Sploosh,Saccharification Rest,Infusion,"
150.0
°F
",60 min
77929,202083,Farmer Sploosh,Mash-Out,Infusion,"
168.0
°F
",15 min
77930,202087,Simcoe/Galaxy Late addition IPA ,Saccharification Rest,Infusion,"
154.0
°F
",90 min
77931,202089,Smoked Porter ,Maltose Rest,Infusion,"
154.0
°F
",60 min
77932,202089,Smoked Porter ,Mash-Out,Infusion,"
160.0
°F
",10 min
77933,202103,El Hefe,Protein Rest,Decoction,"
112.0
°F
",20 min
77934,202103,El Hefe,Saccharification Rest,Decoction,"
150.0
°F
",50 min
77935,202117,Amarillo Galaxy SPA,Saccharification Rest,Infusion,"
152.0
°F
",60 min
77936,202117,Amarillo Galaxy SPA,Mash-Out,Infusion,"
170.0
°F
",10 min
77937,202120,Big Brew Imperial Stout,Saccharification Rest,Infusion,"
152.0
°F
",60 min
77938,202137,French Saison v1,Saccharification Rest,Decoction,"
148.0
°F
",80 min
77939,202137,French Saison v1,Mash-Out,Direct Heat,"
170.0
°F
",10 min
77940,202140,PC Farmhouse Saison,Saccharification Rest,Infusion,"
147.9
°F
",60 min
77941,202149,Kentish Best Bitter v3,Saccharification Rest,Infusion,"
150.0
°F
",60 min
77942,202162,Bisquit Porter,Saccharification Rest,Infusion,"
155.0
°F
",60 min
77943,202170,Best Brown Clone,Acid Rest,Decoction,"
150.0
°F
",60 min
77944,202194,Charybdis,Saccharification Rest,Infusion,"
151.0
°F
",90 min
77945,202195,Kondensed Kommencement Kolsch,Saccharification Rest,Infusion,"
152.0
°F
",90 min
77946,202216,Daily Grisette (Clark Grisette v2),Saccharification Rest,Direct Heat,"
67.0
°C
",60 min
77947,202216,Daily Grisette (Clark Grisette v2),Mash-Out,Direct Heat,"
72.0
°C
",5 min
77948,202219,homebrew 6/05/2014 ABA,Protein Rest,Direct Heat,"
53.0
°C
",20 min
77949,202219,homebrew 6/05/2014 ABA,Saccharification Rest,Direct Heat,"
62.0
°C
",60 min
77950,202219,homebrew 6/05/2014 ABA,Saccharification Rest,Direct Heat,"
68.0
°C
",15 min
77951,202219,homebrew 6/05/2014 ABA,Saccharification Rest,Direct Heat,"
73.0
°C
",20 min
77952,202219,homebrew 6/05/2014 ABA,Mash-Out,Direct Heat,"
78.0
°C
",5 min
77953,202220,Dark IPA,Protein Rest,Direct Heat,"
53.0
°C
",20 min
77954,202220,Dark IPA,Saccharification Rest,Direct Heat,"
62.0
°C
",60 min
77955,202220,Dark IPA,Saccharification Rest,Direct Heat,"
68.0
°C
",15 min
77956,202220,Dark IPA,Saccharification Rest,Direct Heat,"
73.0
°C
",20 min
77957,202220,Dark IPA,Mash-Out,Direct Heat,"
78.0
°C
",5 min
77958,202221,Summer Saison,Saccharification Rest,Infusion,"
148.0
°F
",90 min
77959,202222,Galennial,Protein Rest,Direct Heat,"
53.0
°C
",20 min
77960,202222,Galennial,Saccharification Rest,Direct Heat,"
63.0
°C
",60 min
77961,202222,Galennial,Saccharification Rest,Direct Heat,"
68.0
°C
",15 min
77962,202222,Galennial,Saccharification Rest,Direct Heat,"
73.0
°C
",20 min
77963,202222,Galennial,Mash-Out,Direct Heat,"
78.0
°C
",5 min
77964,202223,Nuggaxy,Protein Rest,Direct Heat,"
53.0
°C
",15 min
77965,202223,Nuggaxy,Saccharification Rest,Direct Heat,"
62.0
°C
",60 min
77966,202223,Nuggaxy,Saccharification Rest,Direct Heat,"
68.0
°C
",15 min
77967,202223,Nuggaxy,Saccharification Rest,Direct Heat,"
73.0
°C
",20 min
77968,202223,Nuggaxy,Mash-Out,Decoction,"
78.0
°C
",5 min
77969,202224,belgian dubbel,Protein Rest,Direct Heat,"
52.0
°C
",15 min
77970,202224,belgian dubbel,Saccharification Rest,Direct Heat,"
62.0
°C
",50 min
77971,202224,belgian dubbel,Saccharification Rest,Direct Heat,"
68.0
°C
",15 min
77972,202224,belgian dubbel,Saccharification Rest,Direct Heat,"
72.0
°C
",20 min
77973,202224,belgian dubbel,Mash-Out,Direct Heat,"
78.0
°C
",5 min
77974,202225,De Koning drinkt,Protein Rest,Direct Heat,"
53.0
°C
",15 min
77975,202225,De Koning drinkt,Saccharification Rest,Direct Heat,"
62.0
°C
",60 min
77976,202225,De Koning drinkt,Saccharification Rest,Direct Heat,"
68.0
°C
",20 min
77977,202225,De Koning drinkt,Mash-Out,Direct Heat,"
78.0
°C
",5 min
77978,202226,Dulle griet,Protein Rest,Direct Heat,"
53.0
°C
",15 min
77979,202226,Dulle griet,Saccharification Rest,Direct Heat,"
63.0
°C
",60 min
77980,202226,Dulle griet,Saccharification Rest,Direct Heat,"
68.0
°C
",20 min
77981,202226,Dulle griet,Saccharification Rest,Direct Heat,"
73.0
°C
",10 min
